quantile --- 62.7995; lambda --- -0.869916
quantile --- 14.5418; lambda --- -0.777079
quantile --- 12.3207; lambda --- -0.88263
quantile --- 217.79; lambda --- -0.810834
quantile --- 3.06124; lambda --- -0.648488
quantile --- 4.26113; lambda --- -0.862212
quantile --- 2.62377; lambda --- -0.88359
quantile --- 117.576; lambda --- -0.853075
quantile --- 2.18362; lambda --- -0.945735
quantile --- 111.096; lambda --- -0.188985
quantile --- 17.9134; lambda --- -0.954474
quantile --- 2.18593; lambda --- -0.780078
quantile --- 108.51; lambda --- -0.878322
quantile --- 49.1641; lambda --- 0.129142
quantile --- 100.572; lambda --- -0.93612
quantile --- 41.573; lambda --- -0.880499
quantile --- 68.7342; lambda --- -0.888708
quantile --- 66.5365; lambda --- -0.903562
quantile --- 3.21283; lambda --- -0.904917
quantile --- 3.49253; lambda --- -0.852667
quantile --- 64.4786; lambda --- -0.429747
quantile --- 2.70499; lambda --- -0.698446
quantile --- 24.8982; lambda --- -0.880172
quantile --- 18.5079; lambda --- -0.71027
quantile --- 51.6548; lambda --- -0.956634
quantile --- 2.18305; lambda --- -0.801215
quantile --- 2.25416; lambda --- -0.736307
quantile --- 35.0743; lambda --- -0.593394
quantile --- 6.65421; lambda --- -0.881336
quantile --- 1.05019; lambda --- -0.768354
quantile --- 15.9351; lambda --- -0.996948
quantile --- 13.8011; lambda --- -0.818839
quantile --- 6.78561; lambda --- -0.882163
quantile --- 15.6322; lambda --- -0.97329
quantile --- 2.02839; lambda --- -0.834791
quantile --- 1.64612; lambda --- -0.844461
quantile --- 1.89517; lambda --- -0.870321
quantile --- 15.2334; lambda --- -0.774784
quantile --- 0.955638; lambda --- -0.790337
quantile --- 2.13917; lambda --- -0.833484
quantile --- 1.92749; lambda --- -0.826915
quantile --- 1.82003; lambda --- -0.889503
quantile --- 1.81779; lambda --- -0.799983
quantile --- 15.1902; lambda --- -0.850037
quantile --- 11.7839; lambda --- -0.960242
quantile --- 6.50339; lambda --- -0.862718
quantile --- 4.82468; lambda --- -0.773469
quantile --- 1.68495; lambda --- -0.829414
quantile --- 1.41284; lambda --- -0.843916
quantile --- 4.09047; lambda --- -0.795452
quantile --- 10.8965; lambda --- -0.883421
quantile --- 5.17856; lambda --- -0.892087
quantile --- 8.94176; lambda --- -0.674622
quantile --- 6.12391; lambda --- -0.828544
quantile --- 174.153; lambda --- -0.409946
quantile --- 93.7625; lambda --- -0.901747
quantile --- 86.8358; lambda --- -0.747509
quantile --- 56.3781; lambda --- -0.844718
quantile --- 50.7764; lambda --- -0.972516
quantile --- 31.2689; lambda --- -0.941771
quantile --- 19.6741; lambda --- 0.0423596
quantile --- 19.2249; lambda --- 0.203352
quantile --- 14.7167; lambda --- -0.893635
quantile --- 2.07693; lambda --- -0.92918
quantile --- 1.60226; lambda --- -0.821767
